idx,smiles,atoms,regressionLogistique
2,O=C1CC[C@@](C=C)(/C=N\[C@](CO[C@H](C)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC=CC=C3)C=C)N1.CC4=CC=C(S(=O)(O)=O)C=C4.O,15,0.9657054763648394
3,O=C1CC[C@@](C=C)(CN[C@](CO[C@H](C)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC=CC=C3)C=C)N1.CC4=CC=C(S(=O)(O)=O)C=C4.O,15,0.96135064165938
4,O=C1CC[C@]2(C=C[C@@](CO[C@H](C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)(C4=CC=CC=C4)NC2)N1.Cl,15,0.28701955135316437
5,O=C1CC[C@]2(CC[C@@](CO[C@H](C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)(C4=CC=CC=C4)NC2)N1,15,0.49084425682629584
0,O=C1CC[C@@H](C(O)=O)N1,15,0.7625124943428143
1,O=C1CC[C@]2([H])N1[C@](C(C)(C)C)([H])OC2=O,15,0.303810810414542
2,O=C1CC[C@]2(C=O)N1[C@](C(C)(C)C)([H])OC2=O,15,0.019259704517844884
3,O=C1CC[C@]2(C=C)N1[C@](C(C)(C)C)([H])OC2O,15,0.02515374301085932
0,OC([C@@H](NC(OCC1=CC=CC=C1)=O)C2=CC=CC=C2)=O,15,0.9972123458466896
1,O=C1[C@H](C2=CC=CC=C2)N([C@@H](C3=CC=CC=C3)O1)C(OCC4=CC=CC=C4)=O,15,0.9371285382162885
2,C[C@@H](OC[C@@]1(N([C@@H](C2=CC=CC=C2)OC1=O)C(OCC3=CC=CC=C3)=O)C4=CC=CC=C4)C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5,15,0.2024272495118941
3,C[C@@H](OC[C@@](C=C)(NC(OCC1=CC=CC=C1)=O)C2=CC=CC=C2)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3,15,0.9779929538145711
4,C[C@@H](OC[C@@](C=C)(N)C1=CC=CC=C1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,15,0.9911762538574376
0,BrC1=C(OC)C(Br)=CC=C1,15,0.9895955547192234
1,O[C@@H](C)C1=C(OC)C(Br)=CC=C1,15,0.9440917750162804
2,CCCCCCO[C@@H](C)C1=C(OC)C(Br)=CC=C1,15,0.9743384545023954
3,CCCCCCO[C@@H](C)C1=C(OC)C(C2=CSC(N)=N2)=CC=C1,15,0.7760475756552775
4,CCCCCCO[C@@H](C)C1=C(OC)C(C2=CSC(NC(C3=CC(Cl)=C(/C=C(C(O)=O)\C)C(Cl)=C3)=O)=N2)=CC=C1,15,0.9861731967550444
